,class,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC
38,HISTORY106B,0.03590192644483362,0.37653239929947463,0.212784588441331,0.13922942206654992,0.09281961471103327,0.03940455341506129,0.01576182136602452,0.002626970227670753,0.0,0.0,0.002626970227670753,0.0,0.0,0.0796847635726795,0.002626970227670753
39,OSPFLOR111Y,0.363758389261745,0.5771812080536913,0.05906040268456376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,PSYCH101,0.12989690721649486,0.29553264604810997,0.18281786941580755,0.13539518900343642,0.1711340206185567,0.02336769759450172,0.01718213058419244,0.01718213058419244,0.005498281786941581,0.0,0.005498281786941581,0.0,0.005498281786941581,0.010996563573883162,0.0
41,CS274,0.07912087912087912,0.4725274725274725,0.23076923076923078,0.10989010989010989,0.02967032967032967,0.02967032967032967,0.0,0.008791208791208791,0.0,0.0,0.0,0.0,0.0,0.03956043956043956,0.0
42,EE271,0.037209302325581395,0.3333333333333333,0.15038759689922482,0.1697674418604651,0.1635658914728682,0.06201550387596899,0.031007751937984496,0.017829457364341085,0.0,0.0,0.0,0.0,0.005426356589147287,0.017829457364341085,0.011627906976744186
43,PEDS65N,0.0,0.5354919053549191,0.32627646326276466,0.11581569115815692,0.0224159402241594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,CHEM171,0.12047177759056445,0.36225779275484415,0.12805391743892164,0.11204717775905644,0.12468407750631845,0.04380791912384162,0.015164279696714406,0.02780117944397641,0.007582139848357203,0.0,0.0,0.0,0.003369839932603201,0.051390058972198824,0.003369839932603201
45,CBIO101,0.055637982195845696,0.3189910979228487,0.2158753709198813,0.16839762611275966,0.10311572700296735,0.017804154302670624,0.02744807121661721,0.008902077151335312,0.0,0.0,0.0,0.0,0.0,0.07492581602373888,0.008902077151335312
46,CHEM173,0.08940774487471526,0.244874715261959,0.11902050113895217,0.13097949886104784,0.1674259681093394,0.06548974943052392,0.0774487471526196,0.05353075170842825,0.02334851936218679,0.0,0.011389521640091117,0.0,0.0056947608200455585,0.011389521640091117,0.0
47,ENGR205,0.024096385542168676,0.4709748083242059,0.20372398685651696,0.13910186199342825,0.11391018619934283,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.012048192771084338
48,EE273,0.061669829222011384,0.4079696394686907,0.15654648956356737,0.18785578747628084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030360531309297913,0.0,0.1252371916508539,0.030360531309297913
49,MUSIC1A,0.20018621973929238,0.40037243947858475,0.30074487895716945,0.074487895716946,0.024208566108007448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,STATS60,0.06943192064923355,0.38773669972948605,0.13615870153291254,0.0793507664562669,0.19837691614066727,0.04959422903516682,0.014427412082957619,0.018935978358881875,0.0063119927862939585,0.0,0.0018034265103697023,0.0,0.002705139765554554,0.032461677186654644,0.002705139765554554
51,MUSIC176B,0.0554675118858954,0.6814580031695721,0.0,0.0,0.03645007923930269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2266244057052298,0.0
52,CEE207A,0.029994001199760048,0.22795440911817635,0.2429514097180564,0.2579484103179364,0.09058188362327535,0.029994001199760048,0.0,0.0,0.0,0.0,0.0,0.0,0.029994001199760048,0.09058188362327535,0.0
53,PWR2GAW,0.0,0.4428424304840371,0.4047373841400618,0.13388259526261587,0.0,0.018537590113285273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,CS106A,0.03391684901531729,0.47045951859956237,0.10175054704595186,0.0886214442013129,0.1422319474835886,0.045951859956236324,0.01312910284463895,0.02735229759299781,0.005470459518599562,0.0,0.0010940919037199124,0.0,0.002188183807439825,0.05908096280087528,0.0087527352297593
55,CEE177,0.07931570762052877,0.11145671332296526,0.22291342664593053,0.14307931570762053,0.11145671332296526,0.06324520476931052,0.07931570762052877,0.06324520476931052,0.06324520476931052,0.0,0.015552099533437015,0.0,0.0,0.047174701918092275,0.0
56,CEE179A,0.0,0.5011655011655012,0.18414918414918416,0.21095571095571095,0.0780885780885781,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,STATS116,0.08412887828162291,0.256563245823389,0.14081145584725538,0.14081145584725538,0.17899761336515513,0.05847255369928401,0.020883054892601432,0.023269689737470168,0.0017899761336515514,0.0017899761336515514,0.004176610978520286,0.0,0.011336515513126491,0.07040572792362769,0.0065632458233890216
58,OSPPARIS24,0.00741839762611276,0.14985163204747776,0.11572700296735905,0.06528189910979229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6379821958456974,0.02373887240356083
59,EDUC103A,0.08787346221441125,0.7557117750439367,0.12478031634446397,0.0,0.015817223198594025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015817223198594025,0.0,0.0
60,EDUC180,0.08052708638360176,0.6295754026354319,0.021961932650073207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2679355783308931,0.0
61,NBIO101,0.013448607108549471,0.41306436119116235,0.2804995196926033,0.10278578290105668,0.013448607108549471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17675312199807877,0.0
62,ARTHIST2,0.06581196581196581,0.36752136752136755,0.2341880341880342,0.2,0.1,0.0,0.0,0.03247863247863248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,CS101,0.033236994219653176,0.6213872832369942,0.11560693641618497,0.057803468208092484,0.12861271676300579,0.0,0.0,0.010115606936416185,0.0,0.0,0.0,0.0,0.0,0.033236994219653176,0.0
